WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\POIG\1050_15.W01 - 1]
*************************************************************************************************
Source of data: ScriptPl
WS3 File Version: 1,05
Number of bytes in subfile: 167287
Total number of data points: 8339
Test date: 09-10-2011
Test time: 08:33:38
Player Step: 1
Step Capture No: 1
Actuator: 1
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 Actuator: 1  Channel:3	 Actuator: 1  Channel:4	 
Load (kN)	 Stroke (mm)	 Extension (mm)	 Command (%)	 Time (s)	 
-0,024	 -58,313	 -0,015	 -44,799	 0,000	 
-0,011	 -58,312	 -0,015	 -44,799	 0,250	 
-0,007	 -58,305	 -0,015	 -44,797	 0,500	 
0,015	 -58,300	 -0,018	 -44,792	 0,750	 
0,017	 -58,294	 -0,020	 -44,788	 1,000	 
0,021	 -58,289	 -0,021	 -44,788	 1,250	 
0,019	 -58,277	 -0,021	 -44,782	 1,500	 
0,022	 -58,273	 -0,022	 -44,780	 1,750	 
0,020	 -58,269	 -0,022	 -44,771	 2,000	 
0,026	 -58,275	 -0,023	 -44,775	 2,250	 
0,019	 -58,263	 -0,023	 -44,773	 2,500	 
0,024	 -58,262	 -0,023	 -44,764	 2,750	 
0,021	 -58,261	 -0,024	 -44,764	 3,000	 
0,027	 -58,255	 -0,025	 -44,760	 3,250	 
0,022	 -58,249	 -0,024	 -44,757	 3,500	 
0,028	 -58,242	 -0,024	 -44,754	 3,750	 
0,024	 -58,248	 -0,025	 -44,753	 4,000	 
0,025	 -58,241	 -0,025	 -44,746	 4,250	 
0,024	 -58,235	 -0,026	 -44,745	 4,500	 
0,029	 -58,234	 -0,025	 -44,746	 4,750	 
0,024	 -58,224	 -0,025	 -44,744	 5,000	 
0,022	 -58,227	 -0,026	 -44,736	 5,250	 
0,024	 -58,221	 -0,026	 -44,734	 5,500	 
0,028	 -58,217	 -0,026	 -44,730	 5,750	 
0,022	 -58,210	 -0,025	 -44,729	 6,000	 
0,030	 -58,206	 -0,026	 -44,727	 6,250	 
0,021	 -58,205	 -0,026	 -44,723	 6,500	 
0,027	 -58,203	 -0,026	 -44,722	 6,750	 
0,022	 -58,197	 -0,025	 -44,714	 7,000	 
0,030	 -58,197	 -0,026	 -44,716	 7,250	 
0,022	 -58,190	 -0,026	 -44,712	 7,500	 
0,030	 -58,192	 -0,026	 -44,707	 7,750	 
0,021	 -58,182	 -0,027	 -44,704	 8,000	 
0,030	 -58,178	 -0,026	 -44,698	 8,250	 
0,024	 -58,172	 -0,026	 -44,700	 8,500	 
0,035	 -58,171	 -0,027	 -44,695	 8,750	 
0,028	 -58,170	 -0,027	 -44,693	 9,000	 
0,034	 -58,160	 -0,027	 -44,685	 9,250	 
0,031	 -58,160	 -0,026	 -44,689	 9,500	 
0,037	 -58,155	 -0,027	 -44,681	 9,750	 
0,036	 -58,150	 -0,027	 -44,674	 10,000	 
0,043	 -58,150	 -0,027	 -44,673	 10,250	 
0,039	 -58,139	 -0,028	 -44,672	 10,500	 
0,046	 -58,133	 -0,029	 -44,669	 10,750	 
0,041	 -58,133	 -0,030	 -44,662	 11,000	 
0,050	 -58,129	 -0,031	 -44,665	 11,250	 
0,048	 -58,125	 -0,032	 -44,667	 11,500	 
0,054	 -58,122	 -0,032	 -44,657	 11,750	 
0,047	 -58,118	 -0,033	 -44,650	 12,000	 
0,056	 -58,114	 -0,034	 -44,652	 12,250	 
0,049	 -58,108	 -0,034	 -44,650	 12,500	 
0,057	 -58,104	 -0,034	 -44,646	 12,750	 
0,054	 -58,107	 -0,035	 -44,641	 13,000	 
0,061	 -58,094	 -0,037	 -44,637	 13,250	 
0,058	 -58,093	 -0,037	 -44,635	 13,500	 
0,061	 -58,092	 -0,038	 -44,638	 13,750	 
0,059	 -58,088	 -0,038	 -44,630	 14,000	 
0,065	 -58,080	 -0,038	 -44,630	 14,250	 
0,056	 -58,072	 -0,039	 -44,626	 14,500	 
0,063	 -58,072	 -0,039	 -44,619	 14,750	 
0,055	 -58,072	 -0,039	 -44,623	 15,000	 
0,061	 -58,066	 -0,040	 -44,617	 15,250	 
0,054	 -58,060	 -0,040	 -44,614	 15,500	 
0,056	 -58,055	 -0,040	 -44,607	 15,750	 
0,059	 -58,056	 -0,041	 -44,602	 16,000	 
0,059	 -58,051	 -0,042	 -44,604	 16,250	 
0,063	 -58,044	 -0,042	 -44,602	 16,500	 
0,061	 -58,041	 -0,042	 -44,598	 16,750	 
0,065	 -58,040	 -0,043	 -44,591	 17,000	 
0,068	 -58,036	 -0,043	 -44,589	 17,250	 
0,074	 -58,031	 -0,043	 -44,588	 17,500	 
0,075	 -58,023	 -0,044	 -44,582	 17,750	 
0,078	 -58,024	 -0,044	 -44,580	 18,000	 
0,074	 -58,023	 -0,044	 -44,578	 18,250	 
0,082	 -58,014	 -0,044	 -44,573	 18,500	 
0,082	 -58,010	 -0,044	 -44,575	 18,750	 
0,090	 -58,009	 -0,044	 -44,570	 19,000	 
0,087	 -58,003	 -0,044	 -44,565	 19,250	 
0,092	 -57,996	 -0,043	 -44,562	 19,500	 
0,085	 -57,995	 -0,043	 -44,560	 19,750	 
0,089	 -57,993	 -0,044	 -44,560	 20,000	 
0,087	 -57,988	 -0,043	 -44,556	 20,250	 
0,096	 -57,981	 -0,043	 -44,550	 20,500	 
0,088	 -57,981	 -0,044	 -44,545	 20,750	 
0,093	 -57,974	 -0,044	 -44,543	 21,000	 
0,093	 -57,971	 -0,044	 -44,535	 21,250	 
0,095	 -57,967	 -0,044	 -44,539	 21,500	 
0,092	 -57,960	 -0,045	 -44,534	 21,750	 
0,094	 -57,957	 -0,045	 -44,524	 22,000	 
0,096	 -57,953	 -0,044	 -44,525	 22,250	 
0,100	 -57,946	 -0,045	 -44,523	 22,500	 
0,098	 -57,945	 -0,045	 -44,520	 22,750	 
0,100	 -57,938	 -0,045	 -44,511	 23,000	 
0,098	 -57,935	 -0,045	 -44,513	 23,250	 
0,107	 -57,935	 -0,046	 -44,509	 23,500	 
0,102	 -57,931	 -0,046	 -44,503	 23,750	 
0,106	 -57,931	 -0,046	 -44,504	 24,000	 
0,107	 -57,923	 -0,046	 -44,502	 24,250	 
0,112	 -57,915	 -0,046	 -44,498	 24,500	 
0,110	 -57,917	 -0,046	 -44,495	 24,750	 
0,113	 -57,914	 -0,047	 -44,492	 25,000	 
0,114	 -57,909	 -0,047	 -44,494	 25,250	 
0,122	 -57,905	 -0,048	 -44,492	 25,500	 
0,118	 -57,903	 -0,048	 -44,484	 25,750	 
0,129	 -57,896	 -0,048	 -44,481	 26,000	 
0,128	 -57,889	 -0,048	 -44,477	 26,250	 
0,139	 -57,889	 -0,048	 -44,477	 26,500	 
0,138	 -57,887	 -0,048	 -44,470	 26,750	 
0,148	 -57,882	 -0,048	 -44,471	 27,000	 
0,142	 -57,875	 -0,048	 -44,468	 27,250	 
0,149	 -57,873	 -0,048	 -44,462	 27,500	 
0,142	 -57,869	 -0,048	 -44,464	 27,750	 
0,150	 -57,866	 -0,048	 -44,462	 28,000	 
0,144	 -57,862	 -0,048	 -44,453	 28,250	 
0,150	 -57,854	 -0,048	 -44,452	 28,500	 
0,141	 -57,854	 -0,048	 -44,444	 28,750	 
0,149	 -57,847	 -0,049	 -44,448	 29,000	 
0,142	 -57,847	 -0,048	 -44,442	 29,250	 
0,149	 -57,840	 -0,048	 -44,440	 29,500	 
0,142	 -57,833	 -0,048	 -44,433	 29,750	 
0,146	 -57,834	 -0,048	 -44,431	 30,000	 
0,141	 -57,827	 -0,048	 -44,427	 30,250	 
0,147	 -57,822	 -0,048	 -44,425	 30,500	 
0,142	 -57,819	 -0,049	 -44,424	 30,750	 
0,148	 -57,815	 -0,049	 -44,418	 31,000	 
0,148	 -57,810	 -0,048	 -44,414	 31,250	 
0,157	 -57,805	 -0,049	 -44,410	 31,500	 
0,154	 -57,802	 -0,049	 -44,413	 31,750	 
0,160	 -57,798	 -0,049	 -44,404	 32,000	 
0,153	 -57,794	 -0,048	 -44,403	 32,250	 
0,158	 -57,791	 -0,049	 -44,403	 32,500	 
0,151	 -57,787	 -0,049	 -44,396	 32,750	 
0,155	 -57,783	 -0,049	 -44,392	 33,000	 
0,151	 -57,777	 -0,048	 -44,392	 33,250	 
0,155	 -57,769	 -0,049	 -44,387	 33,500	 
0,150	 -57,770	 -0,048	 -44,383	 33,750	 
0,155	 -57,769	 -0,049	 -44,383	 34,000	 
0,153	 -57,762	 -0,048	 -44,384	 34,250	 
0,164	 -57,759	 -0,048	 -44,377	 34,500	 
0,177	 -57,755	 -0,049	 -44,372	 34,750	 
0,194	 -57,755	 -0,048	 -44,370	 35,000	 
0,206	 -57,749	 -0,048	 -44,365	 35,250	 
0,222	 -57,748	 -0,049	 -44,365	 35,500	 
0,240	 -57,747	 -0,049	 -44,359	 35,750	 
0,254	 -57,734	 -0,048	 -44,363	 36,000	 
0,276	 -57,733	 -0,048	 -44,355	 36,250	 
0,286	 -57,734	 -0,048	 -44,350	 36,500	 
0,310	 -57,727	 -0,048	 -44,350	 36,750	 
0,323	 -57,725	 -0,047	 -44,348	 37,000	 
0,354	 -57,723	 -0,048	 -44,339	 37,250	 
0,376	 -57,713	 -0,048	 -44,338	 37,500	 
0,412	 -57,705	 -0,048	 -44,339	 37,750	 
0,431	 -57,703	 -0,048	 -44,336	 38,000	 
0,456	 -57,700	 -0,047	 -44,332	 38,250	 
0,477	 -57,697	 -0,047	 -44,328	 38,500	 
0,504	 -57,692	 -0,047	 -44,321	 38,750	 
0,515	 -57,692	 -0,046	 -44,320	 39,000	 
0,537	 -57,685	 -0,046	 -44,321	 39,250	 
0,552	 -57,678	 -0,046	 -44,319	 39,500	 
0,575	 -57,679	 -0,046	 -44,311	 39,750	 
0,596	 -57,674	 -0,045	 -44,306	 40,000	 
0,626	 -57,671	 -0,045	 -44,301	 40,250	 
0,640	 -57,669	 -0,044	 -44,304	 40,500	 
0,671	 -57,664	 -0,044	 -44,299	 40,750	 
0,704	 -57,662	 -0,043	 -44,295	 41,000	 
0,745	 -57,653	 -0,041	 -44,295	 41,250	 
0,769	 -57,652	 -0,040	 -44,291	 41,500	 
0,795	 -57,643	 -0,039	 -44,284	 41,750	 
0,812	 -57,636	 -0,036	 -44,291	 42,000	 
0,828	 -57,632	 -0,034	 -44,284	 42,250	 
0,843	 -57,632	 -0,031	 -44,275	 42,500	 
0,857	 -57,629	 -0,029	 -44,272	 42,750	 
0,868	 -57,622	 -0,027	 -44,267	 43,000	 
0,880	 -57,619	 -0,024	 -44,270	 43,250	 
0,882	 -57,617	 -0,022	 -44,267	 43,500	 
0,894	 -57,615	 -0,020	 -44,258	 43,750	 
0,898	 -57,609	 -0,017	 -44,256	 44,000	 
0,910	 -57,608	 -0,015	 -44,256	 44,250	 
0,916	 -57,602	 -0,012	 -44,253	 44,500	 
0,929	 -57,600	 -0,010	 -44,251	 44,750	 
0,931	 -57,595	 -0,007	 -44,240	 45,000	 
0,942	 -57,594	 -0,005	 -44,244	 45,250	 
0,946	 -57,589	 -0,002	 -44,240	 45,500	 
0,960	 -57,586	 0,001	 -44,235	 45,750	 
0,966	 -57,583	 0,003	 -44,234	 46,000	 
0,978	 -57,577	 0,006	 -44,234	 46,250	 
0,982	 -57,572	 0,009	 -44,228	 46,500	 
0,993	 -57,571	 0,012	 -44,223	 46,750	 
0,996	 -57,565	 0,016	 -44,223	 47,000	 
1,006	 -57,561	 0,019	 -44,223	 47,250	 
1,007	 -57,565	 0,022	 -44,218	 47,500	 
1,018	 -57,555	 0,025	 -44,215	 47,750	 
1,018	 -57,549	 0,028	 -44,209	 48,000	 
1,030	 -57,545	 0,031	 -44,207	 48,250	 
1,027	 -57,543	 0,034	 -44,205	 48,500	 
1,038	 -57,537	 0,037	 -44,202	 48,750	 
1,035	 -57,535	 0,039	 -44,198	 49,000	 
1,048	 -57,530	 0,042	 -44,192	 49,250	 
1,044	 -57,525	 0,046	 -44,191	 49,500	 
1,058	 -57,520	 0,048	 -44,190	 49,750	 
1,059	 -57,517	 0,052	 -44,185	 50,000	 
1,064	 -57,516	 0,055	 -44,183	 50,250	 
1,062	 -57,513	 0,058	 -44,183	 50,500	 
1,073	 -57,509	 0,061	 -44,178	 50,750	 
1,071	 -57,502	 0,065	 -44,172	 51,000	 
1,079	 -57,500	 0,067	 -44,175	 51,250	 
1,075	 -57,496	 0,069	 -44,169	 51,500	 
1,085	 -57,493	 0,072	 -44,158	 51,750	 
1,087	 -57,486	 0,075	 -44,157	 52,000	 
1,091	 -57,486	 0,077	 -44,163	 52,250	 
1,089	 -57,481	 0,081	 -44,154	 52,500	 
1,101	 -57,474	 0,083	 -44,153	 52,750	 
1,100	 -57,471	 0,087	 -44,150	 53,000	 
1,107	 -57,468	 0,090	 -44,141	 53,250	 
1,107	 -57,462	 0,093	 -44,144	 53,500	 
1,113	 -57,460	 0,096	 -44,141	 53,750	 
1,113	 -57,458	 0,098	 -44,133	 54,000	 
1,118	 -57,451	 0,102	 -44,132	 54,250	 
1,118	 -57,446	 0,105	 -44,130	 54,500	 
1,126	 -57,446	 0,108	 -44,130	 54,750	 
1,126	 -57,444	 0,111	 -44,122	 55,000	 
1,134	 -57,439	 0,114	 -44,124	 55,250	 
1,132	 -57,432	 0,118	 -44,118	 55,500	 
1,144	 -57,432	 0,120	 -44,114	 55,750	 
1,141	 -57,421	 0,124	 -44,114	 56,000	 
1,146	 -57,417	 0,127	 -44,113	 56,250	 
1,146	 -57,410	 0,130	 -44,103	 56,500	 
1,153	 -57,410	 0,133	 -44,102	 56,750	 
1,148	 -57,405	 0,136	 -44,098	 57,000	 
1,159	 -57,402	 0,139	 -44,099	 57,250	 
1,152	 -57,396	 0,142	 -44,096	 57,500	 
1,162	 -57,393	 0,146	 -44,091	 57,750	 
1,159	 -57,388	 0,148	 -44,091	 58,000	 
1,164	 -57,382	 0,152	 -44,083	 58,250	 
1,163	 -57,380	 0,154	 -44,078	 58,500	 
1,167	 -57,375	 0,158	 -44,076	 58,750	 
1,169	 -57,373	 0,160	 -44,079	 59,000	 
1,173	 -57,369	 0,163	 -44,074	 59,250	 
1,172	 -57,368	 0,167	 -44,063	 59,500	 
1,171	 -57,362	 0,169	 -44,067	 59,750	 
1,177	 -57,359	 0,173	 -44,065	 60,000	 
1,176	 -57,354	 0,175	 -44,063	 60,250	 
1,181	 -57,348	 0,178	 -44,057	 60,500	 
1,178	 -57,347	 0,181	 -44,052	 60,750	 
1,186	 -57,344	 0,184	 -44,052	 61,000	 
1,183	 -57,340	 0,187	 -44,047	 61,250	 
1,189	 -57,332	 0,191	 -44,041	 61,500	 
1,185	 -57,333	 0,193	 -44,043	 61,750	 
1,194	 -57,326	 0,196	 -44,034	 62,000	 
1,193	 -57,322	 0,200	 -44,033	 62,250	 
1,198	 -57,319	 0,203	 -44,030	 62,500	 
1,194	 -57,315	 0,205	 -44,030	 62,750	 
1,205	 -57,308	 0,208	 -44,026	 63,000	 
1,203	 -57,306	 0,212	 -44,020	 63,250	 
1,208	 -57,303	 0,215	 -44,016	 63,500	 
1,207	 -57,298	 0,218	 -44,019	 63,750	 
1,213	 -57,292	 0,221	 -44,017	 64,000	 
1,204	 -57,291	 0,224	 -44,013	 64,250	 
1,215	 -57,285	 0,227	 -44,008	 64,500	 
1,211	 -57,284	 0,230	 -44,008	 64,750	 
1,216	 -57,284	 0,233	 -44,004	 65,000	 
1,215	 -57,277	 0,236	 -43,997	 65,250	 
1,220	 -57,272	 0,240	 -43,998	 65,500	 
1,220	 -57,263	 0,242	 -43,991	 65,750	 
1,222	 -57,259	 0,246	 -43,987	 66,000	 
1,221	 -57,259	 0,248	 -43,985	 66,250	 
1,224	 -57,255	 0,252	 -43,984	 66,500	 
1,220	 -57,249	 0,255	 -43,980	 66,750	 
1,226	 -57,247	 0,257	 -43,976	 67,000	 
1,222	 -57,248	 0,261	 -43,971	 67,250	 
1,231	 -57,238	 0,263	 -43,973	 67,500	 
1,229	 -57,238	 0,267	 -43,966	 67,750	 
1,231	 -57,234	 0,269	 -43,964	 68,000	 
1,228	 -57,233	 0,272	 -43,965	 68,250	 
1,236	 -57,223	 0,276	 -43,958	 68,500	 
1,233	 -57,220	 0,279	 -43,957	 68,750	 
1,238	 -57,220	 0,282	 -43,958	 69,000	 
1,238	 -57,213	 0,285	 -43,951	 69,250	 
1,241	 -57,210	 0,287	 -43,945	 69,500	 
