WORKSHOP 3 EXPORTED DATA: [C:\wyniki\2012_03_26\Kopia 26_03.W01 - 1]
*************************************************************************************************
Source of data: ScriptPl
WS3 File Version: 1,05
Number of bytes in subfile: 89187
Total number of data points: 4434
Test date: 26-03-2012
Test time: 15:38:44
Player Step: 1
Step Capture No: 1
Actuator: 1
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 Actuator: 1  Channel:3	 Actuator: 1  Channel:4	 
Load (kN)	 Stroke (mm)	 Extension (mm)	 Command (%)	 Time (s)	 
-0,006	 -62,865	 -0,113	 -48,310	 0,000	 
-0,005	 -62,866	 -0,112	 -48,308	 0,100	 
-0,005	 -62,866	 -0,113	 -48,297	 0,200	 
-0,005	 -62,850	 -0,113	 -48,292	 0,300	 
-0,006	 -62,835	 -0,112	 -48,283	 0,400	 
-0,006	 -62,828	 -0,112	 -48,274	 0,500	 
-0,005	 -62,814	 -0,113	 -48,270	 0,600	 
-0,006	 -62,810	 -0,113	 -48,258	 0,700	 
-0,006	 -62,801	 -0,113	 -48,254	 0,800	 
-0,006	 -62,786	 -0,112	 -48,245	 0,900	 
-0,005	 -62,775	 -0,113	 -48,237	 1,000	 
-0,005	 -62,768	 -0,112	 -48,228	 1,100	 
-0,005	 -62,755	 -0,112	 -48,220	 1,200	 
-0,005	 -62,744	 -0,112	 -48,216	 1,300	 
-0,006	 -62,735	 -0,113	 -48,202	 1,400	 
-0,006	 -62,725	 -0,113	 -48,199	 1,500	 
-0,005	 -62,711	 -0,112	 -48,189	 1,600	 
-0,005	 -62,710	 -0,113	 -48,182	 1,700	 
-0,006	 -62,696	 -0,112	 -48,173	 1,800	 
-0,006	 -62,690	 -0,112	 -48,166	 1,900	 
-0,005	 -62,676	 -0,113	 -48,162	 2,000	 
-0,006	 -62,669	 -0,113	 -48,151	 2,100	 
-0,006	 -62,656	 -0,113	 -48,147	 2,200	 
-0,005	 -62,645	 -0,113	 -48,136	 2,300	 
-0,005	 -62,641	 -0,113	 -48,129	 2,400	 
-0,006	 -62,630	 -0,113	 -48,121	 2,500	 
-0,005	 -62,616	 -0,113	 -48,112	 2,600	 
-0,006	 -62,606	 -0,112	 -48,107	 2,700	 
-0,005	 -62,598	 -0,112	 -48,099	 2,800	 
-0,005	 -62,587	 -0,113	 -48,087	 2,900	 
-0,006	 -62,579	 -0,113	 -48,082	 3,000	 
-0,006	 -62,571	 -0,112	 -48,071	 3,100	 
-0,005	 -62,562	 -0,112	 -48,066	 3,200	 
-0,006	 -62,555	 -0,112	 -48,060	 3,300	 
-0,006	 -62,538	 -0,112	 -48,050	 3,400	 
-0,006	 -62,527	 -0,113	 -48,042	 3,500	 
-0,006	 -62,521	 -0,113	 -48,039	 3,600	 
-0,006	 -62,507	 -0,113	 -48,028	 3,700	 
-0,006	 -62,498	 -0,112	 -48,022	 3,800	 
-0,006	 -62,490	 -0,113	 -48,014	 3,900	 
-0,005	 -62,476	 -0,112	 -48,006	 4,000	 
-0,005	 -62,470	 -0,113	 -47,997	 4,100	 
-0,006	 -62,456	 -0,113	 -47,989	 4,200	 
-0,006	 -62,451	 -0,112	 -47,981	 4,300	 
-0,005	 -62,437	 -0,112	 -47,974	 4,400	 
-0,006	 -62,431	 -0,113	 -47,967	 4,500	 
-0,005	 -62,419	 -0,113	 -47,956	 4,600	 
-0,006	 -62,410	 -0,113	 -47,951	 4,700	 
-0,006	 -62,400	 -0,112	 -47,942	 4,800	 
-0,005	 -62,389	 -0,112	 -47,937	 4,900	 
-0,005	 -62,377	 -0,112	 -47,925	 5,000	 
-0,006	 -62,369	 -0,113	 -47,921	 5,100	 
-0,005	 -62,358	 -0,113	 -47,912	 5,200	 
-0,006	 -62,349	 -0,112	 -47,904	 5,300	 
-0,006	 -62,338	 -0,113	 -47,896	 5,400	 
-0,006	 -62,332	 -0,113	 -47,890	 5,500	 
-0,005	 -62,317	 -0,112	 -47,884	 5,600	 
-0,006	 -62,307	 -0,112	 -47,874	 5,700	 
-0,005	 -62,300	 -0,112	 -47,867	 5,800	 
-0,006	 -62,288	 -0,112	 -47,857	 5,900	 
-0,005	 -62,278	 -0,112	 -47,851	 6,000	 
-0,006	 -62,262	 -0,113	 -47,843	 6,100	 
-0,005	 -62,260	 -0,113	 -47,836	 6,200	 
-0,006	 -62,247	 -0,112	 -47,826	 6,300	 
-0,005	 -62,239	 -0,112	 -47,821	 6,400	 
-0,006	 -62,227	 -0,113	 -47,813	 6,500	 
-0,005	 -62,219	 -0,113	 -47,808	 6,600	 
-0,006	 -62,212	 -0,112	 -47,796	 6,700	 
-0,006	 -62,200	 -0,113	 -47,792	 6,800	 
-0,006	 -62,189	 -0,113	 -47,782	 6,900	 
-0,006	 -62,182	 -0,112	 -47,776	 7,000	 
-0,005	 -62,169	 -0,112	 -47,766	 7,100	 
-0,006	 -62,162	 -0,112	 -47,761	 7,200	 
-0,006	 -62,150	 -0,113	 -47,755	 7,300	 
-0,006	 -62,138	 -0,112	 -47,744	 7,400	 
-0,006	 -62,132	 -0,112	 -47,739	 7,500	 
-0,006	 -62,118	 -0,112	 -47,728	 7,600	 
-0,006	 -62,107	 -0,112	 -47,722	 7,700	 
-0,006	 -62,098	 -0,112	 -47,715	 7,800	 
-0,006	 -62,089	 -0,113	 -47,707	 7,900	 
-0,005	 -62,078	 -0,112	 -47,700	 8,000	 
-0,006	 -62,072	 -0,112	 -47,692	 8,100	 
-0,005	 -62,057	 -0,112	 -47,684	 8,200	 
-0,006	 -62,050	 -0,113	 -47,679	 8,300	 
-0,006	 -62,039	 -0,113	 -47,670	 8,400	 
-0,006	 -62,030	 -0,112	 -47,661	 8,500	 
-0,006	 -62,020	 -0,113	 -47,650	 8,600	 
-0,006	 -62,013	 -0,113	 -47,648	 8,700	 
-0,006	 -62,000	 -0,112	 -47,636	 8,800	 
-0,006	 -61,989	 -0,113	 -47,630	 8,900	 
-0,006	 -61,979	 -0,113	 -47,622	 9,000	 
-0,006	 -61,972	 -0,113	 -47,617	 9,100	 
-0,006	 -61,960	 -0,113	 -47,609	 9,200	 
-0,006	 -61,951	 -0,113	 -47,601	 9,300	 
-0,006	 -61,940	 -0,113	 -47,594	 9,400	 
-0,006	 -61,927	 -0,112	 -47,586	 9,500	 
-0,006	 -61,921	 -0,112	 -47,579	 9,600	 
-0,006	 -61,909	 -0,113	 -47,569	 9,700	 
-0,006	 -61,902	 -0,112	 -47,562	 9,800	 
-0,006	 -61,893	 -0,113	 -47,557	 9,900	 
-0,006	 -61,881	 -0,112	 -47,547	 10,000	 
-0,006	 -61,872	 -0,113	 -47,539	 10,100	 
-0,006	 -61,859	 -0,112	 -47,534	 10,200	 
-0,006	 -61,851	 -0,112	 -47,525	 10,300	 
-0,006	 -61,839	 -0,113	 -47,518	 10,400	 
-0,006	 -61,829	 -0,113	 -47,507	 10,500	 
-0,006	 -61,822	 -0,112	 -47,504	 10,600	 
-0,006	 -61,810	 -0,112	 -47,493	 10,700	 
-0,006	 -61,800	 -0,113	 -47,481	 10,800	 
-0,006	 -61,791	 -0,113	 -47,474	 10,900	 
-0,006	 -61,782	 -0,112	 -47,468	 11,000	 
-0,006	 -61,769	 -0,112	 -47,461	 11,100	 
-0,006	 -61,760	 -0,112	 -47,453	 11,200	 
-0,006	 -61,754	 -0,112	 -47,442	 11,300	 
-0,006	 -61,740	 -0,113	 -47,435	 11,400	 
-0,006	 -61,729	 -0,113	 -47,425	 11,500	 
-0,006	 -61,720	 -0,113	 -47,418	 11,600	 
-0,006	 -61,712	 -0,112	 -47,409	 11,700	 
-0,006	 -61,702	 -0,113	 -47,407	 11,800	 
-0,006	 -61,696	 -0,112	 -47,393	 11,900	 
-0,006	 -61,683	 -0,112	 -47,386	 12,000	 
-0,006	 -61,669	 -0,113	 -47,380	 12,100	 
-0,006	 -61,662	 -0,112	 -47,372	 12,200	 
-0,006	 -61,646	 -0,113	 -47,365	 12,300	 
-0,006	 -61,641	 -0,113	 -47,359	 12,400	 
-0,006	 -61,627	 -0,113	 -47,352	 12,500	 
-0,006	 -61,625	 -0,112	 -47,343	 12,600	 
-0,006	 -61,618	 -0,112	 -47,338	 12,700	 
-0,005	 -61,599	 -0,112	 -47,328	 12,800	 
-0,006	 -61,589	 -0,113	 -47,317	 12,900	 
-0,006	 -61,582	 -0,112	 -47,312	 13,000	 
-0,006	 -61,573	 -0,112	 -47,306	 13,100	 
-0,006	 -61,562	 -0,112	 -47,294	 13,200	 
-0,006	 -61,547	 -0,113	 -47,288	 13,300	 
-0,006	 -61,543	 -0,112	 -47,280	 13,400	 
-0,006	 -61,530	 -0,113	 -47,273	 13,500	 
-0,006	 -61,521	 -0,113	 -47,265	 13,600	 
-0,006	 -61,511	 -0,113	 -47,260	 13,700	 
-0,006	 -61,506	 -0,113	 -47,249	 13,800	 
-0,006	 -61,493	 -0,113	 -47,245	 13,900	 
-0,005	 -61,479	 -0,112	 -47,231	 14,000	 
-0,006	 -61,471	 -0,112	 -47,228	 14,100	 
-0,005	 -61,458	 -0,112	 -47,219	 14,200	 
-0,006	 -61,453	 -0,113	 -47,212	 14,300	 
-0,006	 -61,444	 -0,112	 -47,201	 14,400	 
-0,006	 -61,430	 -0,112	 -47,200	 14,500	 
-0,006	 -61,423	 -0,113	 -47,188	 14,600	 
-0,006	 -61,414	 -0,113	 -47,185	 14,700	 
-0,005	 -61,402	 -0,112	 -47,172	 14,800	 
-0,006	 -61,391	 -0,112	 -47,167	 14,900	 
-0,006	 -61,381	 -0,113	 -47,158	 15,000	 
-0,006	 -61,374	 -0,112	 -47,151	 15,100	 
-0,006	 -61,359	 -0,112	 -47,142	 15,200	 
-0,006	 -61,352	 -0,112	 -47,135	 15,300	 
-0,006	 -61,342	 -0,112	 -47,128	 15,400	 
-0,006	 -61,331	 -0,112	 -47,120	 15,500	 
-0,006	 -61,323	 -0,113	 -47,113	 15,600	 
-0,006	 -61,311	 -0,113	 -47,109	 15,700	 
-0,006	 -61,299	 -0,113	 -47,098	 15,800	 
-0,006	 -61,292	 -0,113	 -47,094	 15,900	 
-0,006	 -61,282	 -0,112	 -47,085	 16,000	 
-0,006	 -61,273	 -0,113	 -47,076	 16,100	 
-0,006	 -61,261	 -0,113	 -47,069	 16,200	 
-0,006	 -61,251	 -0,112	 -47,063	 16,300	 
-0,006	 -61,240	 -0,113	 -47,052	 16,400	 
-0,006	 -61,233	 -0,113	 -47,047	 16,500	 
-0,006	 -61,224	 -0,112	 -47,039	 16,600	 
-0,006	 -61,212	 -0,113	 -47,030	 16,700	 
-0,005	 -61,201	 -0,113	 -47,024	 16,800	 
-0,006	 -61,184	 -0,113	 -47,014	 16,900	 
-0,006	 -61,184	 -0,113	 -47,008	 17,000	 
-0,006	 -61,175	 -0,113	 -47,001	 17,100	 
-0,006	 -61,161	 -0,112	 -46,990	 17,200	 
-0,006	 -61,150	 -0,112	 -46,984	 17,300	 
-0,006	 -61,141	 -0,113	 -46,975	 17,400	 
-0,006	 -61,135	 -0,112	 -46,967	 17,500	 
-0,005	 -61,122	 -0,113	 -46,958	 17,600	 
-0,006	 -61,111	 -0,113	 -46,952	 17,700	 
-0,005	 -61,100	 -0,112	 -46,945	 17,800	 
-0,005	 -61,092	 -0,113	 -46,937	 17,900	 
-0,005	 -61,081	 -0,112	 -46,928	 18,000	 
-0,006	 -61,068	 -0,112	 -46,922	 18,100	 
-0,006	 -61,066	 -0,112	 -46,911	 18,200	 
-0,005	 -61,051	 -0,112	 -46,907	 18,300	 
-0,006	 -61,040	 -0,112	 -46,900	 18,400	 
-0,006	 -61,026	 -0,113	 -46,891	 18,500	 
-0,005	 -61,022	 -0,112	 -46,885	 18,600	 
-0,005	 -61,012	 -0,112	 -46,877	 18,700	 
-0,005	 -61,001	 -0,112	 -46,870	 18,800	 
-0,006	 -60,991	 -0,112	 -46,861	 18,900	 
-0,006	 -60,981	 -0,113	 -46,854	 19,000	 
-0,006	 -60,971	 -0,112	 -46,840	 19,100	 
-0,005	 -60,963	 -0,113	 -46,839	 19,200	 
-0,005	 -60,949	 -0,112	 -46,831	 19,300	 
-0,006	 -60,942	 -0,113	 -46,822	 19,400	 
-0,006	 -60,931	 -0,113	 -46,817	 19,500	 
-0,006	 -60,923	 -0,113	 -46,807	 19,600	 
-0,006	 -60,912	 -0,112	 -46,800	 19,700	 
-0,005	 -60,902	 -0,113	 -46,789	 19,800	 
-0,005	 -60,895	 -0,112	 -46,780	 19,900	 
-0,005	 -60,881	 -0,113	 -46,777	 20,000	 
-0,006	 -60,870	 -0,112	 -46,765	 20,100	 
-0,006	 -60,865	 -0,113	 -46,760	 20,200	 
-0,005	 -60,852	 -0,113	 -46,750	 20,300	 
-0,006	 -60,843	 -0,113	 -46,743	 20,400	 
-0,005	 -60,831	 -0,112	 -46,736	 20,500	 
-0,006	 -60,823	 -0,113	 -46,727	 20,600	 
-0,006	 -60,809	 -0,113	 -46,722	 20,700	 
-0,006	 -60,803	 -0,112	 -46,714	 20,800	 
-0,005	 -60,791	 -0,113	 -46,705	 20,900	 
-0,005	 -60,782	 -0,112	 -46,699	 21,000	 
-0,006	 -60,773	 -0,113	 -46,690	 21,100	 
-0,006	 -60,761	 -0,112	 -46,684	 21,200	 
-0,006	 -60,750	 -0,112	 -46,675	 21,300	 
-0,006	 -60,745	 -0,113	 -46,669	 21,400	 
-0,005	 -60,730	 -0,112	 -46,659	 21,500	 
-0,006	 -60,726	 -0,112	 -46,651	 21,600	 
-0,006	 -60,712	 -0,112	 -46,645	 21,700	 
-0,006	 -60,702	 -0,113	 -46,636	 21,800	 
-0,005	 -60,687	 -0,113	 -46,629	 21,900	 
-0,006	 -60,683	 -0,113	 -46,624	 22,000	 
-0,005	 -60,670	 -0,113	 -46,613	 22,100	 
-0,006	 -60,661	 -0,113	 -46,607	 22,200	 
-0,006	 -60,650	 -0,112	 -46,598	 22,300	 
-0,005	 -60,641	 -0,113	 -46,596	 22,400	 
-0,005	 -60,631	 -0,112	 -46,581	 22,500	 
-0,006	 -60,620	 -0,113	 -46,576	 22,600	 
-0,006	 -60,611	 -0,113	 -46,569	 22,700	 
-0,006	 -60,604	 -0,113	 -46,563	 22,800	 
-0,005	 -60,590	 -0,113	 -46,552	 22,900	 
-0,006	 -60,583	 -0,112	 -46,545	 23,000	 
-0,006	 -60,573	 -0,113	 -46,541	 23,100	 
