WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\Rozciaganie\w4_2.W01 - 1]
*************************************************************************************************
Source of data: ScriptPl
WS3 File Version: 1,05
Number of bytes in subfile: 9027
Total number of data points: 426
Test date: 30-01-2018
Test time: 16:15:10
Player Step: 1
Step Capture No: 1
Actuator: 1
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 Actuator: 1  Channel:3	 Actuator: 1  Channel:4	 
Load (kN)	 Stroke (mm)	 Extension (mm)	 Command (%)	 Time (s)	 
0,339	 -60,475	 -1,333	 -46,475	 0,000	 
0,637	 -60,464	 -1,335	 -46,458	 1,000	 
1,201	 -60,446	 -1,339	 -46,443	 2,000	 
1,812	 -60,430	 -1,342	 -46,427	 3,000	 
2,611	 -60,405	 -1,343	 -46,410	 4,000	 
3,404	 -60,390	 -1,344	 -46,399	 5,000	 
4,362	 -60,370	 -1,346	 -46,382	 6,000	 
5,243	 -60,348	 -1,348	 -46,366	 7,000	 
6,218	 -60,331	 -1,349	 -46,347	 8,000	 
7,151	 -60,312	 -1,349	 -46,335	 9,000	 
8,169	 -60,291	 -1,348	 -46,317	 10,000	 
9,220	 -60,271	 -1,346	 -46,304	 11,000	 
10,275	 -60,251	 -1,345	 -46,286	 12,000	 
11,357	 -60,231	 -1,344	 -46,270	 13,000	 
12,356	 -60,218	 -1,341	 -46,256	 14,000	 
13,515	 -60,197	 -1,340	 -46,242	 15,000	 
14,588	 -60,180	 -1,337	 -46,228	 16,000	 
15,634	 -60,165	 -1,335	 -46,217	 17,000	 
16,873	 -60,142	 -1,333	 -46,197	 18,000	 
17,867	 -60,126	 -1,330	 -46,180	 19,000	 
19,064	 -60,104	 -1,327	 -46,170	 20,000	 
20,135	 -60,088	 -1,325	 -46,151	 21,000	 
21,239	 -60,068	 -1,321	 -46,139	 22,000	 
22,481	 -60,044	 -1,316	 -46,123	 23,000	 
23,503	 -60,031	 -1,312	 -46,103	 24,000	 
24,573	 -60,013	 -1,308	 -46,090	 25,000	 
25,984	 -59,988	 -1,304	 -46,073	 26,000	 
26,852	 -59,974	 -1,301	 -46,060	 27,000	 
28,025	 -59,953	 -1,299	 -46,046	 28,000	 
28,976	 -59,939	 -1,296	 -46,031	 29,000	 
30,023	 -59,921	 -1,285	 -46,015	 30,000	 
31,045	 -59,901	 -1,284	 -45,998	 31,000	 
32,162	 -59,883	 -1,285	 -45,985	 32,000	 
33,213	 -59,859	 -1,281	 -45,966	 33,000	 
34,035	 -59,847	 -1,279	 -45,954	 34,000	 
34,833	 -59,829	 -1,273	 -45,938	 35,000	 
35,522	 -59,809	 -1,265	 -45,921	 36,000	 
36,077	 -59,788	 -1,254	 -45,903	 37,000	 
36,341	 -59,766	 -1,243	 -45,890	 38,000	 
36,681	 -59,752	 -1,230	 -45,873	 39,000	 
36,970	 -59,727	 -1,216	 -45,860	 40,000	 
37,089	 -59,703	 -1,202	 -45,844	 41,000	 
37,266	 -59,692	 -1,188	 -45,830	 42,000	 
37,454	 -59,670	 -1,172	 -45,816	 43,000	 
37,583	 -59,651	 -1,156	 -45,801	 44,000	 
37,712	 -59,629	 -1,141	 -45,783	 45,000	 
37,892	 -59,608	 -1,126	 -45,772	 46,000	 
37,988	 -59,588	 -1,111	 -45,754	 47,000	 
38,149	 -59,571	 -1,096	 -45,739	 48,000	 
38,306	 -59,545	 -1,079	 -45,724	 49,000	 
38,440	 -59,527	 -1,063	 -45,702	 50,000	 
38,550	 -59,506	 -1,048	 -45,688	 51,000	 
38,786	 -59,487	 -1,031	 -45,675	 52,000	 
38,863	 -59,467	 -1,015	 -45,662	 53,000	 
39,066	 -59,447	 -1,001	 -45,647	 54,000	 
39,192	 -59,429	 -0,983	 -45,630	 55,000	 
39,277	 -59,414	 -0,968	 -45,616	 56,000	 
39,502	 -59,390	 -0,951	 -45,599	 57,000	 
39,589	 -59,372	 -0,935	 -45,583	 58,000	 
39,809	 -59,353	 -0,918	 -45,569	 59,000	 
39,894	 -59,330	 -0,901	 -45,552	 60,000	 
40,201	 -59,305	 -0,883	 -45,538	 61,000	 
40,104	 -59,288	 -0,866	 -45,519	 62,000	 
40,266	 -59,273	 -0,852	 -45,506	 63,000	 
40,469	 -59,254	 -0,836	 -45,490	 64,000	 
40,628	 -59,229	 -0,818	 -45,470	 65,000	 
40,699	 -59,214	 -0,801	 -45,452	 66,000	 
40,943	 -59,191	 -0,784	 -45,441	 67,000	 
41,000	 -59,170	 -0,765	 -45,431	 68,000	 
41,065	 -59,154	 -0,749	 -45,408	 69,000	 
41,239	 -59,135	 -0,733	 -45,398	 70,000	 
41,382	 -59,115	 -0,715	 -45,383	 71,000	 
41,497	 -59,094	 -0,698	 -45,364	 72,000	 
41,611	 -59,073	 -0,681	 -45,354	 73,000	 
41,743	 -59,052	 -0,664	 -45,336	 74,000	 
41,876	 -59,030	 -0,645	 -45,321	 75,000	 
41,933	 -59,013	 -0,628	 -45,310	 76,000	 
42,089	 -58,994	 -0,612	 -45,292	 77,000	 
42,219	 -58,974	 -0,594	 -45,276	 78,000	 
42,275	 -58,953	 -0,577	 -45,259	 79,000	 
42,473	 -58,935	 -0,559	 -45,246	 80,000	 
42,520	 -58,916	 -0,541	 -45,229	 81,000	 
42,595	 -58,895	 -0,525	 -45,215	 82,000	 
42,912	 -58,874	 -0,506	 -45,200	 83,000	 
42,864	 -58,850	 -0,485	 -45,184	 84,000	 
42,891	 -58,834	 -0,468	 -45,167	 85,000	 
42,990	 -58,813	 -0,453	 -45,154	 86,000	 
43,210	 -58,797	 -0,437	 -45,137	 87,000	 
43,281	 -58,777	 -0,419	 -45,123	 88,000	 
43,342	 -58,757	 -0,401	 -45,107	 89,000	 
43,452	 -58,734	 -0,385	 -45,093	 90,000	 
43,568	 -58,715	 -0,368	 -45,077	 91,000	 
43,678	 -58,693	 -0,347	 -45,061	 92,000	 
43,712	 -58,672	 -0,329	 -45,045	 93,000	 
43,788	 -58,654	 -0,312	 -45,027	 94,000	 
43,960	 -58,633	 -0,294	 -45,014	 95,000	 
44,002	 -58,614	 -0,276	 -44,998	 96,000	 
44,055	 -58,596	 -0,258	 -44,982	 97,000	 
44,190	 -58,577	 -0,242	 -44,968	 98,000	 
44,273	 -58,555	 -0,224	 -44,950	 99,000	 
44,328	 -58,536	 -0,205	 -44,937	 100,000	 
44,481	 -58,517	 -0,186	 -44,920	 101,000	 
44,506	 -58,496	 -0,166	 -44,905	 102,000	 
44,557	 -58,475	 -0,148	 -44,891	 103,000	 
44,633	 -58,459	 -0,131	 -44,876	 104,000	 
44,771	 -58,439	 -0,114	 -44,860	 105,000	 
44,847	 -58,417	 -0,094	 -44,841	 106,000	 
44,878	 -58,393	 -0,075	 -44,832	 107,000	 
44,926	 -58,376	 -0,058	 -44,820	 108,000	 
45,106	 -58,356	 -0,037	 -44,799	 109,000	 
45,126	 -58,337	 -0,016	 -44,786	 110,000	 
45,178	 -58,320	 0,004	 -44,770	 111,000	 
45,237	 -58,298	 0,022	 -44,749	 112,000	 
45,303	 -58,278	 0,041	 -44,739	 113,000	 
45,503	 -58,256	 0,061	 -44,722	 114,000	 
45,511	 -58,235	 0,084	 -44,710	 115,000	 
45,511	 -58,214	 0,106	 -44,691	 116,000	 
45,550	 -58,193	 0,125	 -44,673	 117,000	 
45,631	 -58,179	 0,143	 -44,661	 118,000	 
45,691	 -58,158	 0,161	 -44,643	 119,000	 
45,777	 -58,140	 0,181	 -44,633	 120,000	 
45,849	 -58,122	 0,199	 -44,615	 121,000	 
45,954	 -58,098	 0,221	 -44,602	 122,000	 
46,004	 -58,078	 0,243	 -44,587	 123,000	 
46,023	 -58,058	 0,264	 -44,572	 124,000	 
46,070	 -58,038	 0,285	 -44,556	 125,000	 
46,147	 -58,017	 0,305	 -44,542	 126,000	 
46,193	 -58,001	 0,325	 -44,523	 127,000	 
46,343	 -57,975	 0,348	 -44,503	 128,000	 
46,321	 -57,960	 0,372	 -44,490	 129,000	 
46,343	 -57,938	 0,393	 -44,475	 130,000	 
46,390	 -57,917	 0,413	 -44,459	 131,000	 
46,446	 -57,904	 0,432	 -44,446	 132,000	 
46,543	 -57,884	 0,453	 -44,428	 133,000	 
46,605	 -57,858	 0,474	 -44,416	 134,000	 
46,659	 -57,839	 0,496	 -44,394	 135,000	 
46,728	 -57,817	 0,517	 -44,384	 136,000	 
46,808	 -57,792	 0,545	 -44,366	 137,000	 
46,789	 -57,770	 0,570	 -44,351	 138,000	 
46,769	 -57,756	 0,590	 -44,337	 139,000	 
46,816	 -57,739	 0,610	 -44,320	 140,000	 
46,897	 -57,718	 0,629	 -44,309	 141,000	 
46,989	 -57,700	 0,649	 -44,286	 142,000	 
47,039	 -57,681	 0,671	 -44,274	 143,000	 
47,069	 -57,661	 0,694	 -44,258	 144,000	 
47,196	 -57,639	 1,480	 -44,242	 145,000	 
47,211	 -57,615	 1,831	 -44,229	 146,000	 
47,211	 -57,593	 1,853	 -44,213	 147,000	 
47,220	 -57,573	 1,873	 -44,201	 148,000	 
47,256	 -57,559	 1,890	 -44,183	 149,000	 
47,302	 -57,537	 1,908	 -44,167	 150,000	 
47,354	 -57,520	 1,382	 -44,157	 151,000	 
47,434	 -57,503	 0,112	 -44,138	 152,000	 
47,455	 -57,482	 -1,180	 -44,120	 153,000	 
47,480	 -57,461	 -1,044	 -44,106	 154,000	 
47,551	 -57,442	 0,000	 -44,092	 155,000	 
47,586	 -57,422	 0,008	 -44,080	 156,000	 
47,612	 -57,397	 0,007	 -44,058	 157,000	 
47,641	 -57,380	 0,008	 -44,045	 158,000	 
47,678	 -57,358	 0,008	 -44,030	 159,000	 
47,705	 -57,341	 0,008	 -44,017	 160,000	 
47,779	 -57,323	 0,009	 -44,001	 161,000	 
47,801	 -57,299	 0,009	 -43,987	 162,000	 
47,817	 -57,277	 0,008	 -43,972	 163,000	 
47,834	 -57,263	 0,000	 -43,957	 164,000	 
47,878	 -57,242	 0,000	 -43,942	 165,000	 
47,963	 -57,221	 0,003	 -43,926	 166,000	 
48,006	 -57,204	 0,003	 -43,910	 167,000	 
48,001	 -57,177	 0,003	 -43,892	 168,000	 
48,031	 -57,155	 0,003	 -43,878	 169,000	 
48,047	 -57,137	 0,004	 -43,861	 170,000	 
48,074	 -57,123	 0,003	 -43,849	 171,000	 
48,101	 -57,098	 0,004	 -43,832	 172,000	 
48,143	 -57,080	 0,004	 -43,818	 173,000	 
48,213	 -57,057	 0,004	 -43,803	 174,000	 
48,239	 -57,038	 0,004	 -43,785	 175,000	 
48,261	 -57,017	 0,004	 -43,774	 176,000	 
48,275	 -56,996	 0,004	 -43,758	 177,000	 
48,294	 -56,982	 0,004	 -43,740	 178,000	 
48,331	 -56,959	 0,005	 -43,727	 179,000	 
48,373	 -56,940	 0,005	 -43,706	 180,000	 
48,380	 -56,919	 0,005	 -43,694	 181,000	 
48,390	 -56,901	 0,005	 -43,682	 182,000	 
48,439	 -56,880	 0,005	 -43,662	 183,000	 
48,523	 -56,863	 0,005	 -43,646	 184,000	 
48,533	 -56,837	 0,005	 -43,633	 185,000	 
48,529	 -56,816	 0,005	 -43,618	 186,000	 
48,547	 -56,795	 0,005	 -43,605	 187,000	 
48,555	 -56,778	 0,005	 -43,585	 188,000	 
48,569	 -56,757	 0,005	 -43,567	 189,000	 
48,599	 -56,736	 0,005	 -43,551	 190,000	 
48,623	 -56,719	 0,005	 -43,537	 191,000	 
48,672	 -56,700	 0,005	 -43,519	 192,000	 
48,724	 -56,680	 0,005	 -43,508	 193,000	 
48,754	 -56,658	 0,005	 -43,493	 194,000	 
48,766	 -56,637	 0,005	 -43,478	 195,000	 
48,785	 -56,616	 0,005	 -43,461	 196,000	 
48,794	 -56,598	 0,005	 -43,445	 197,000	 
48,808	 -56,580	 0,005	 -43,428	 198,000	 
48,815	 -56,563	 0,005	 -43,417	 199,000	 
48,838	 -56,537	 0,005	 -43,398	 200,000	 
48,861	 -56,521	 0,005	 -43,384	 201,000	 
48,901	 -56,503	 0,005	 -43,372	 202,000	 
48,920	 -56,482	 0,005	 -43,351	 203,000	 
48,939	 -56,461	 0,005	 -43,338	 204,000	 
48,959	 -56,440	 0,005	 -43,323	 205,000	 
49,006	 -56,418	 0,005	 -43,311	 206,000	 
49,018	 -56,397	 0,005	 -43,296	 207,000	 
49,026	 -56,380	 0,005	 -43,281	 208,000	 
49,027	 -56,356	 0,005	 -43,265	 209,000	 
49,046	 -56,337	 0,005	 -43,248	 210,000	 
49,068	 -56,321	 0,005	 -43,236	 211,000	 
49,088	 -56,299	 0,005	 -43,223	 212,000	 
49,128	 -56,279	 0,004	 -43,202	 213,000	 
49,133	 -56,260	 0,005	 -43,189	 214,000	 
49,141	 -56,242	 0,005	 -43,174	 215,000	 
49,150	 -56,221	 0,005	 -43,157	 216,000	 
49,174	 -56,197	 0,005	 -43,139	 217,000	 
49,194	 -56,181	 0,005	 -43,123	 218,000	 
49,216	 -56,165	 0,005	 -43,113	 219,000	 
49,223	 -56,140	 0,005	 -43,091	 220,000	 
49,254	 -56,119	 0,005	 -43,077	 221,000	 
49,262	 -56,100	 0,005	 -43,062	 222,000	 
49,280	 -56,077	 0,004	 -43,048	 223,000	 
49,295	 -56,059	 0,005	 -43,030	 224,000	 
49,311	 -56,038	 0,005	 -43,019	 225,000	 
49,316	 -56,017	 0,005	 -42,999	 226,000	 
49,333	 -56,000	 0,005	 -42,980	 227,000	 
49,354	 -55,982	 0,005	 -42,968	 228,000	 
49,368	 -55,961	 0,005	 -42,959	 229,000	 
49,402	 -55,940	 0,005	 -42,941	 230,000	 
49,409	 -55,920	 0,004	 -42,923	 231,000	 
49,407	 -55,900	 0,005	 -42,912	 232,000	 
49,418	 -55,882	 0,005	 -42,894	 233,000	 
49,429	 -55,859	 0,005	 -42,880	 234,000	 
49,458	 -55,841	 0,005	 -42,862	 235,000	 
49,464	 -55,821	 0,005	 -42,849	 236,000	 
49,467	 -55,799	 0,005	 -42,831	 237,000	 
49,475	 -55,779	 0,005	 -42,827	 238,000	 
49,479	 -55,762	 0,005	 -42,805	 239,000	 
49,497	 -55,743	 0,005	 -42,787	 240,000	 
49,594	 -55,720	 0,005	 -42,772	 241,000	 
49,574	 -55,696	 0,005	 -42,758	 242,000	 
49,563	 -55,673	 0,005	 -42,742	 243,000	 
49,557	 -55,652	 0,005	 -42,727	 244,000	 
49,554	 -55,631	 0,005	 -42,713	 245,000	 
49,558	 -55,615	 0,005	 -42,693	 246,000	 
49,574	 -55,595	 0,005	 -42,680	 247,000	 
