WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\Rozciaganie\w5_1_1.W01 - 1]
*************************************************************************************************
Source of data: ScriptPl
WS3 File Version: 1,05
Number of bytes in subfile: 14187
Total number of data points: 684
Test date: 30-01-2018
Test time: 15:53:05
Player Step: 1
Step Capture No: 1
Actuator: 1
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 Actuator: 1  Channel:3	 Actuator: 1  Channel:4	 
Load (kN)	 Stroke (mm)	 Extension (mm)	 Command (%)	 Time (s)	 
0,200	 -50,577	 0,000	 -38,869	 0,000	 
0,396	 -50,560	 0,000	 -38,858	 1,000	 
0,426	 -50,551	 0,000	 -38,852	 2,000	 
0,446	 -50,537	 0,000	 -38,850	 3,000	 
0,447	 -50,529	 0,000	 -38,837	 4,000	 
0,446	 -50,520	 0,000	 -38,833	 5,000	 
0,444	 -50,510	 0,000	 -38,822	 6,000	 
0,446	 -50,500	 0,000	 -38,816	 7,000	 
0,448	 -50,489	 0,000	 -38,809	 8,000	 
0,445	 -50,480	 0,000	 -38,802	 9,000	 
0,446	 -50,471	 0,000	 -38,795	 10,000	 
0,446	 -50,462	 0,000	 -38,786	 11,000	 
0,444	 -50,449	 0,000	 -38,779	 12,000	 
0,446	 -50,437	 0,000	 -38,772	 13,000	 
0,446	 -50,433	 0,000	 -38,763	 14,000	 
0,446	 -50,421	 0,000	 -38,755	 15,000	 
0,442	 -50,414	 0,000	 -38,744	 16,000	 
0,446	 -50,399	 0,000	 -38,738	 17,000	 
0,449	 -50,392	 0,000	 -38,730	 18,000	 
0,445	 -50,380	 0,000	 -38,723	 19,000	 
0,446	 -50,371	 0,000	 -38,716	 20,000	 
0,446	 -50,361	 0,000	 -38,707	 21,000	 
0,446	 -50,352	 0,000	 -38,705	 22,000	 
0,451	 -50,345	 0,000	 -38,694	 23,000	 
0,446	 -50,334	 0,000	 -38,686	 24,000	 
0,446	 -50,325	 0,000	 -38,676	 25,000	 
0,447	 -50,313	 0,000	 -38,666	 26,000	 
0,446	 -50,301	 0,000	 -38,657	 27,000	 
0,444	 -50,290	 0,001	 -38,648	 28,000	 
0,449	 -50,280	 0,000	 -38,639	 29,000	 
0,447	 -50,268	 0,000	 -38,633	 30,000	 
0,447	 -50,262	 0,000	 -38,625	 31,000	 
0,446	 -50,251	 0,000	 -38,615	 32,000	 
0,446	 -50,248	 0,000	 -38,611	 33,000	 
0,448	 -50,230	 0,000	 -38,598	 34,000	 
0,448	 -50,222	 0,000	 -38,599	 35,000	 
0,448	 -50,213	 0,000	 -38,583	 36,000	 
0,448	 -50,202	 -0,001	 -38,578	 37,000	 
0,446	 -50,192	 0,000	 -38,572	 38,000	 
0,446	 -50,182	 0,000	 -38,560	 39,000	 
0,449	 -50,170	 0,000	 -38,555	 40,000	 
0,448	 -50,158	 0,000	 -38,554	 41,000	 
0,448	 -50,155	 0,000	 -38,541	 42,000	 
0,451	 -50,141	 0,000	 -38,534	 43,000	 
0,448	 -50,133	 0,000	 -38,527	 44,000	 
0,451	 -50,121	 0,000	 -38,519	 45,000	 
0,446	 -50,110	 0,000	 -38,512	 46,000	 
0,446	 -50,101	 0,000	 -38,501	 47,000	 
0,450	 -50,086	 0,000	 -38,494	 48,000	 
0,451	 -50,081	 0,000	 -38,488	 49,000	 
0,448	 -50,071	 0,000	 -38,485	 50,000	 
0,448	 -50,062	 0,000	 -38,475	 51,000	 
0,450	 -50,051	 0,000	 -38,469	 52,000	 
0,451	 -50,038	 0,000	 -38,454	 53,000	 
0,449	 -50,030	 0,000	 -38,449	 54,000	 
0,451	 -50,020	 0,000	 -38,442	 55,000	 
0,451	 -50,009	 0,000	 -38,433	 56,000	 
0,452	 -50,003	 0,000	 -38,425	 57,000	 
0,457	 -49,993	 0,000	 -38,420	 58,000	 
0,453	 -49,979	 0,000	 -38,412	 59,000	 
