WORKSHOP 3 EXPORTED DATA: [C:\Documents and Settings\Administrator\Pulpit\Rozciaganie\w5_2.W01 - 1]					
*************************************************************************************************					
Source of data: ScriptPl					
WS3 File Version: 1,05					
Number of bytes in subfile: 10427					
Total number of data points: 496					
Test date: 30-01-2018					
Test time: 16:53:17					
Player Step: 1					
Step Capture No: 1					
Actuator: 1					
*************************************************************************************************					
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 Actuator: 1  Channel:3	 Actuator: 1  Channel:4	 
Load (kN)	 Stroke (mm)	 Extension (mm)	 Command (%)	 Time (s)	 
0,911	-61,358	0,000	-47,155	0	 
1,384	-61,339	0,001	-47,139	1	 
1,706	-61,324	0,000	-47,125	2	 
2,031	-61,309	0,001	-47,110	3	 
2,462	-61,287	0,002	-47,099	4	 
2,922	-61,266	0,004	-47,075	5	 
3,391	-61,252	0,006	-47,065	6	 
3,788	-61,235	0,008	-47,052	7	 
4,285	-61,211	0,008	-47,033	8	 
4,857	-61,192	0,014	-47,019	9	 
5,243	-61,172	0,014	-47,001	10	 
5,727	-61,158	0,016	-46,986	11	 
6,244	-61,134	0,018	-46,977	12	 
6,793	-61,115	0,018	-46,956	13	 
7,276	-61,094	0,021	-46,940	14	 
7,817	-61,079	0,021	-46,925	15	 
8,501	-61,059	0,021	-46,906	16	 
9,330	-61,037	0,021	-46,894	17	 
10,089	-61,023	0,025	-46,876	18	 
10,978	-61,002	0,029	-46,861	19	 
11,775	-60,980	0,031	-46,848	20	 
12,675	-60,967	0,033	-46,830	21	 
13,642	-60,944	0,035	-46,817	22	 
14,463	-60,932	0,035	-46,802	23	 
15,410	-60,911	0,035	-46,784	24	 
16,398	-60,890	0,040	-46,773	25	 
17,441	-60,868	0,043	-46,754	26	 
18,389	-60,851	0,045	-46,743	27	 
19,377	-60,833	0,045	-46,722	28	 
20,326	-60,816	0,045	-46,705	29	 
21,415	-60,796	0,047	-46,697	30	 
22,269	-60,777	0,047	-46,679	31	 
23,261	-60,756	0,049	-46,662	32	 
24,187	-60,740	0,055	-46,647	33	 
25,108	-60,724	0,066	-46,633	34	 
25,991	-60,699	0,086	-46,621	35	 
26,845	-60,685	0,102	-46,602	36	 
27,727	-60,664	0,116	-46,588	37	 
28,697	-60,643	0,130	-46,574	38	 
29,519	-60,629	0,144	-46,556	39	 
30,333	-60,610	0,158	-46,548	40	 
31,091	-60,588	0,172	-46,526	41	 
31,813	-60,572	0,187	-46,515	42	 
32,631	-60,548	0,206	-46,490	43	 
33,335	-60,533	0,224	-46,476	44	 
34,031	-60,513	0,242	-46,462	45	 
34,738	-60,497	0,261	-46,448	46	 
35,355	-60,473	0,281	-46,432	47	 
35,975	-60,457	0,300	-46,416	48	 
36,547	-60,435	0,323	-46,398	49	 
37,129	-60,419	0,348	-46,387	50	 
37,723	-60,400	0,380	-46,372	51	 
38,224	-60,381	0,413	-46,358	52	 
38,707	-60,361	0,448	-46,343	53	 
39,217	-60,340	0,483	-46,327	54	 
39,759	-60,320	0,523	-46,311	55	 
40,111	-60,302	0,555	-46,294	56	 
40,603	-60,288	0,598	-46,278	57	 
41,013	-60,266	0,639	-46,262	58	 
41,382	-60,245	0,683	-46,247	59	 
41,754	-60,225	0,727	-46,233	60	 
42,158	-60,200	0,774	-46,217	61	 
42,536	-60,186	0,809	-46,198	62	 
42,856	-60,167	0,854	-46,184	63	 
43,202	-60,150	0,897	-46,169	64	 
43,536	-60,130	0,935	-46,153	65	 
43,780	-60,108	0,973	-46,144	66	 
44,079	-60,088	1,011	-46,123	67	 
44,495	-60,071	1,054	-46,109	68	 
44,580	-60,046	1,090	-46,096	69	 
44,978	-60,027	1,133	-46,079	70	 
45,219	-60,009	1,173	-46,061	71	 
45,471	-59,987	1,216	-46,046	72	 
45,749	-59,968	1,255	-46,031	73	 
45,951	-59,951	1,290	-46,015	74	 
46,204	-59,932	1,330	-46,000	75	 
46,407	-59,912	1,366	-45,983	76	 
46,705	-59,890	1,407	-45,969	77	 
46,820	-59,868	1,440	-45,954	78	 
47,061	-59,854	1,473	-45,943	79	 
47,297	-59,835	1,513	-45,927	80	 
47,534	-59,813	1,548	-45,909	81	 
47,676	-59,794	1,584	-45,892	82	 
47,952	-59,773	1,620	-45,882	83	 
48,053	-59,752	1,658	-45,864	84	 
48,284	-59,737	1,695	-45,850	85	 
48,421	-59,710	1,735	-45,838	86	 
48,706	-59,692	1,770	-45,818	87	 
48,772	-59,675	1,805	-45,803	88	 
48,943	-59,656	1,834	-45,792	89	 
49,180	-59,636	1,869	-45,772	90	 
49,289	-59,615	1,903	-45,756	91	 
49,430	-59,594	1,933	-45,743	92	 
49,627	-59,577	1,964	-45,726	93	 
49,804	-59,556	1,996	-45,708	94	 
49,968	-59,536	2,028	-45,699	95	 
50,026	-59,513	2,055	-45,683	96	 
50,152	-59,496	2,079	-45,667	97	 
50,447	-59,473	2,112	-45,650	98	 
50,488	-59,453	2,142	-45,638	99	 
50,572	-59,439	2,164	-45,621	100	 
50,790	-59,412	2,192	-45,599	101	 
50,852	-59,396	2,214	-45,588	102	 
51,017	-59,380	2,234	-45,570	103	 
51,211	-59,357	2,256	-45,560	104	 
51,275	-59,334	2,276	-45,540	105	 
51,494	-59,315	2,298	-45,522	106	 
51,529	-59,296	2,320	-45,509	107	 
51,604	-59,278	2,340	-45,494	108	 
51,823	-59,256	2,360	-45,478	109	 
51,865	-59,238	2,378	-45,464	110	 
52,093	-59,215	2,398	-45,445	111	 
52,131	-59,200	2,420	-45,431	112	 
52,189	-59,177	2,438	-45,417	113	 
52,361	-59,156	2,456	-45,402	114	 
52,475	-59,140	2,476	-45,386	115	 
52,568	-59,123	2,496	-45,376	116	 
52,723	-59,101	2,517	-45,358	117	 
52,760	-59,079	2,537	-45,343	118	 
52,828	-59,062	2,554	-45,321	119	 
53,025	-59,034	2,575	-45,311	120	 
53,062	-59,020	2,594	-45,293	121	 
53,140	-59,003	2,613	-45,277	122	 
53,320	-58,981	2,632	-45,264	123	 
53,356	-58,957	2,651	-45,248	124	 
53,442	-58,940	2,669	-45,231	125	 
53,552	-58,922	2,688	-45,219	126	 
53,694	-58,896	2,707	-45,204	127	 
53,721	-58,881	2,727	-45,187	128	 
53,783	-58,862	2,743	-45,169	129	 
53,886	-58,841	2,763	-45,160	130	 
54,060	-58,819	2,783	-45,143	131	 
54,048	-58,798	2,804	-45,128	132	 
54,114	-58,777	2,820	-45,112	133	 
54,213	-58,761	2,838	-45,098	134	 
54,340	-58,741	2,857	-45,080	135	 
54,376	-58,721	2,875	-45,069	136	 
54,482	-58,700	2,893	-45,051	137	 
54,553	-58,682	2,911	-45,036	138	 
54,664	-58,657	2,933	-45,022	139	 
54,680	-58,636	2,951	-45,005	140	 
54,701	-58,621	2,969	-44,990	141	 
54,888	-58,599	2,986	-44,977	142	 
54,927	-58,580	3,006	-44,958	143	 
54,978	-58,562	3,024	-44,938	144	 
55,111	-58,541	3,042	-44,926	145	 
55,166	-58,514	3,062	-44,918	146	 
55,180	-58,496	3,081	-44,893	147	 
55,231	-58,482	3,098	-44,880	148	 
55,298	-58,464	3,115	-44,867	149	 
55,407	-58,441	3,133	-44,850	150	 
55,510	-58,423	3,152	-44,832	151	 
55,528	-58,394	3,171	-44,816	152	 
55,563	-58,379	3,238	-44,807	153	 
55,623	-58,362	3,423	-44,787	154	 
55,747	-58,342	4,210	-44,775	155	 
55,774	-58,323	4,232	-44,761	156	 
55,834	-58,297	4,252	-44,744	157	 
55,874	-58,281	4,271	-44,728	158	 
56,006	-58,261	4,291	-44,714	159	 
56,033	-58,238	3,791	-44,694	160	 
56,045	-58,217	2,238	-44,682	161	 
56,091	-58,201	0,731	-44,661	162	 
56,137	-58,179	-0,226	-44,651	163	 
56,295	-58,161	-0,151	-44,640	164	 
56,301	-58,137	1,582	-44,617	165	 
56,323	-58,119	2,392	-44,607	166	 
56,352	-58,107	2,397	-44,590	167	 
56,419	-58,080	2,398	-44,580	168	 
56,522	-58,060	2,398	-44,560	169	 
56,549	-58,042	2,398	-44,541	170	 
56,617	-58,029	2,392	-44,525	171	 
56,644	-58,004	2,393	-44,511	172	 
56,676	-57,982	2,394	-44,497	173	 
56,776	-57,963	2,395	-44,480	174	 
56,787	-57,942	2,396	-44,466	175	 
56,823	-57,919	2,396	-44,442	176	 
56,870	-57,904	2,396	-44,433	177	 
56,900	-57,883	2,397	-44,420	178	 
57,040	-57,860	2,399	-44,405	179	 
57,041	-57,842	2,399	-44,388	180	 
57,051	-57,819	2,399	-44,368	181	 
57,077	-57,801	2,400	-44,361	182	 
57,116	-57,784	2,399	-44,344	183	 
57,165	-57,763	2,399	-44,329	184	 
57,268	-57,747	2,399	-44,310	185	 
57,310	-57,726	2,399	-44,294	186	 
57,333	-57,705	2,400	-44,278	187	 
57,356	-57,680	2,399	-44,264	188	 
57,388	-57,661	2,399	-44,249	189	 
57,430	-57,645	2,400	-44,230	190	 
57,542	-57,624	2,399	-44,218	191	 
57,553	-57,601	2,399	-44,201	192	 
57,567	-57,583	2,399	-44,187	193	 
57,581	-57,556	2,400	-44,174	194	 
57,609	-57,538	2,399	-44,153	195	 
57,644	-57,526	2,399	-44,144	196	 
57,685	-57,501	2,400	-44,126	197	 
57,728	-57,485	2,400	-44,113	198	 
57,817	-57,465	2,400	-44,095	199	 
57,842	-57,445	2,400	-44,083	200	 
57,868	-57,424	2,400	-44,068	201	 
57,899	-57,404	2,399	-44,058	202	 
57,929	-57,384	2,399	-44,030	203	 
57,956	-57,365	2,400	-44,020	204	 
58,009	-57,344	2,400	-44,002	205	 
58,027	-57,327	2,399	-43,988	206	 
58,060	-57,304	2,400	-43,977	207	 
58,125	-57,281	2,399	-43,953	208	 
58,140	-57,264	2,400	-43,941	209	 
58,164	-57,241	2,400	-43,929	210	 
58,185	-57,222	2,400	-43,914	211	 
